fecha,hora,timestamp_unix,camara_id,lugar,total_personas,ids_detectados,frame_numero,fps_video
2026-05-01,18:02:12,1777676532.412,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",24,13.09
2026-05-01,18:02:13,1777676532.873,CAM-01,Pasillo,12,"17,18,20,21,23,25,27,28,34,39,26,42",24,30.00
2026-05-01,18:02:13,1777676533.411,CAM-03,Caja,4,"12,15,31,43",27,12.00
2026-05-01,18:02:13,1777676533.444,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",27,13.09
2026-05-01,18:02:14,1777676533.915,CAM-01,Pasillo,13,"17,18,20,21,23,25,27,28,34,39,26,45,30",27,30.00
2026-05-01,18:02:14,1777676534.474,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",30,13.09
2026-05-01,18:02:15,1777676534.732,CAM-03,Caja,5,"12,15,31,14,46",31,12.00
2026-05-01,18:02:15,1777676535.002,CAM-01,Pasillo,13,"17,18,20,21,23,25,27,28,34,26,45,30,39",30,30.00
2026-05-01,18:02:15,1777676535.501,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",34,13.09
2026-05-01,18:02:16,1777676535.957,CAM-03,Caja,6,"12,15,31,14,35,46",33,12.00
2026-05-01,18:02:16,1777676536.346,CAM-01,Pasillo,12,"17,20,21,23,25,27,28,34,26,45,19,30",33,30.00
2026-05-01,18:02:16,1777676536.603,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",37,13.09
2026-05-01,18:02:17,1777676537.106,CAM-03,Caja,4,"12,15,31,14",36,12.00
2026-05-01,18:02:17,1777676537.499,CAM-01,Pasillo,11,"17,20,21,23,25,27,28,26,45,49,19",36,30.00
2026-05-01,18:02:18,1777676537.757,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",40,13.09
2026-05-01,18:02:18,1777676538.201,CAM-03,Caja,4,"12,15,31,14",39,12.00
2026-05-01,18:02:19,1777676538.658,CAM-01,Pasillo,10,"17,20,21,23,25,26,45,19,34,28",39,30.00
2026-05-01,18:02:19,1777676538.932,CAM-02,Entrada,12,"1,2,3,4,5,6,7,8,9,10,11,50",43,13.09
2026-05-01,18:02:19,1777676539.316,CAM-03,Caja,4,"12,15,31,14",42,12.00
2026-05-01,18:02:20,1777676539.759,CAM-01,Pasillo,10,"20,21,23,25,45,19,34,28,49,27",42,30.00
2026-05-01,18:02:20,1777676540.129,CAM-02,Entrada,12,"1,2,3,4,5,6,7,9,10,11,50,53",46,13.09
2026-05-01,18:02:20,1777676540.432,CAM-03,Caja,5,"12,15,31,14,54",45,12.00
2026-05-01,18:02:21,1777676540.933,CAM-01,Pasillo,13,"20,21,25,45,19,34,28,49,55,27,26,23,18",45,30.00
2026-05-01,18:02:21,1777676541.268,CAM-02,Entrada,10,"1,2,3,4,5,6,7,11,50,53",49,13.09
2026-05-01,18:02:21,1777676541.571,CAM-03,Caja,5,"12,15,14,54,31",48,12.00
2026-05-01,18:02:22,1777676542.067,CAM-01,Pasillo,15,"20,21,25,45,19,34,28,49,27,26,23,18,58,17,55",48,30.00
2026-05-01,18:02:22,1777676542.418,CAM-02,Entrada,12,"1,2,3,4,5,6,7,11,50,53,10,59",52,13.09
2026-05-01,18:02:23,1777676542.688,CAM-03,Caja,4,"12,15,14,54",51,12.00
2026-05-01,18:02:23,1777676543.225,CAM-01,Pasillo,14,"20,21,25,45,19,34,28,49,26,23,18,58,17,60",51,30.00
2026-05-01,18:02:23,1777676543.592,CAM-02,Entrada,10,"1,2,3,4,5,6,7,11,50,59",55,13.09
2026-05-01,18:02:24,1777676543.803,CAM-03,Caja,2,"12,15",54,12.00
2026-05-01,18:02:24,1777676544.371,CAM-01,Pasillo,12,"20,21,25,45,34,28,49,26,18,17,23,58",54,30.00
2026-05-01,18:02:25,1777676544.771,CAM-02,Entrada,12,"1,2,3,4,5,6,7,11,50,59,53,8",58,13.09
2026-05-01,18:02:25,1777676544.921,CAM-03,Caja,4,"12,15,54,14",57,12.00
2026-05-01,18:02:25,1777676545.504,CAM-01,Pasillo,12,"20,21,25,45,34,28,17,58,19,26,23,49",57,30.00
2026-05-01,18:02:26,1777676545.940,CAM-02,Entrada,11,"1,2,3,4,5,6,7,11,50,59,8",61,13.09
2026-05-01,18:02:26,1777676546.011,CAM-03,Caja,3,"12,15,14",60,12.00
2026-05-01,18:02:26,1777676546.615,CAM-01,Pasillo,13,"20,21,25,45,34,17,58,19,26,23,49,64,18",60,30.00
2026-05-01,18:02:27,1777676547.083,CAM-02,Entrada,11,"1,2,3,4,5,6,7,11,50,59,8",64,13.09
2026-05-01,18:02:27,1777676547.133,CAM-03,Caja,3,"12,15,14",63,12.00
